job_title,skills
software tester contractor,R
software testing,R
software testing engineer,R
software tools development engineer,R
specialist backend developer,R
specialist software development engineer,R
sql data engineer,"AWS, Python"
sql database administrator,R
sql database administrator contractor,R
sql database developer,R
"sql developer, java developer",R
sql server database administrator,R
sql server database administrator - contractor,R
sql server database administrator - intern,R
sql server database administrator contractor,R
sql server dba,R
sql-dba - contractor,R
sr android developer,R
sr android engineer,R
sr backend software engineer,R
sr data analyst - it,Excel
sr database administrator,R
"sr expert data science, advanced visual analytics (associate level)",Python
sr front-end engineer,R
sr ios developer,R
sr ios developer - contractor,R
sr it software development engineer in test,R
sr oracle database administrator,R
"sr scientist, immuno-oncology - oncology",AWS
sr software development engineer,R
sr software development engineer in test,R
sr software engineer (data scientist),Excel
sr test engineer,R
sr. android developer,R
sr. data analyst,"Excel, Python, Spark"
sr. data engineer,"AWS, Python, Spark"
sr. data engineer (etl developer),"Excel, Python"
sr. data engineer - contract-to-hire (java),Python
sr. data engineer | big data saas pipeline,"AWS, Spark"
sr. data scientist,Python
"sr. data scientist - analytics, personalized healthcare (phc)","Excel, Python, Spark"
sr. data scientist ii,"AWS, Python, Spark"
"sr. data scientist, cyber-security lt contract","AWS, Excel, Python, Spark"
sr. database administrator,R
sr. database engineer,R
sr. front end developer,R
sr. front end developer - contractor,R
sr. ios applications developer,R
sr. ios developer,R
sr. ios engineer,R
sr. java/j2ee developer,R
sr. mobile applications developer,R
sr. python developer/software engineer,"Python, R"
sr. scientist - digital & image analysis/computational pathology,Excel
sr. scientist ii,Excel
sr. scientist method development,Excel
sr. software development engineer in test,R
sr. test analyst,R
staff bi and data engineer,"Python, Spark"
staff data engineer,"AWS, Python, Spark"
staff data scientist,"AWS, Python"
staff machine learning engineer,"Python, Spark"
staff scientist-downstream process development,Excel
staff software development engineer,R
staff software development engineer in test,R
supply chain data analyst,"Excel, Python"
survey data analyst,"Excel, Python"
sybase database administrator,R
sybase database administrator - contractor,R
system and data analyst,Excel
systems developer/python developer,"Python, R"
systems developer/python developer - contractor,"Python, R"
systems developer/python developer - intern,"Python, R"
systems engineer ii - data analyst,Excel
systems test engineer,R
team lead/senior java developer,R
tech lead front end,R
tech lead- android applications developer,R
technical java lead developer,R
technical lead - software development engineer in test,R
technology analyst - python developer,"Python, R"
"technology-minded, data professional opportunities","Excel, Spark"
teradata database administrator,R
test architect,R
test automation engineer,R
test engineer,R
test engineer - contractor,R
test engineer - intern,R
test engineer analyst,R
test engineer contractor,R
test engineer ii,R
test engineer senior analyst,R
test engineering analyst,R
test engineering senior analyst,R
test engineering team lead,R
test manager,R
test solutions engineer,R
tester,R
"tester-java, selenium",R
testing engineer,R
testing engineering analyst,R
trainee android developer,R
trainee engineer – software development,R
trainee java developer,R
trainee junior python developer,"Python, R"
trainee software development engineer,R
trainee test engineer - contractor,R
ui developer/front end developer,R
ui front end developer,R
ui/front end developer,R
ui/user experience designer & front end developer,R
ui/ux designer & front end developer,R
"vp, data science","Excel, Python"
web data analyst,"Excel, Python"
web developer,R
web developer (front-end),R
web developer - contractor,R
web developer - intern,R
web developer contractor,R
"web developer, python developer","Python, R"
web developer/android developer - intern,R
xamarin mobile developer,R
